Plot_ID,n,zmax,zmin,zmean,zsd,zcv,zskew,zkurt,zq1,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zq99,pzabovemean,pzabove2,pzabove5,ziqr,zMADmean,zMADmedian,CRR,zentropy,VCI,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,L1,L2,L3,L4,Lskew,Lkurt,Lcoefvar,lad_max,lad_mean,lad_cv,lad_min,pz_below_0,pz_0.0.15,pz_0.15.2,pz_2.5,pz_5.10,pz_10.20,pz_20.30,pz_above_30,rumple,vn,vFRall,vFRcanopy,vzrumple,vzsd,vzcv,OpenGapSpace,ClosedGapSpace,Euphotic,Oligophotic,kde_peaks_count,kde_peak1_elev,kde_peak2_elev,kde_peak3_elev,kde_peak4_elev,kde_peak1_value,kde_peak2_value,kde_peak3_value,kde_peak4_value,kde_peak1_diff,kde_peak2_diff,kde_peak3_diff,pfirst,pintermidiate,plast,psingle,pmultiple,HOME,eigen_largest,eigen_medium,eigen_smallest,curvature,linearity,planarity,sphericity,anisotropy,horizontality,Z,npoints,convhull_area,FOD Region,Reporting Name,Region,District,Company,Assessment Name,KeyID,Area,Species,Plant Date,Assessment Date,Inventory Type,No Plots,Plot Date,Abandoned,Zone,Plot Complete,X Coord,Y Coord,Process Date,Age,TPHA,TPHA Planted,SPHA,MTH (m),MH (m),MH Planted (m),Dq (cm),Dq Planted (cm),MDD (cm),MinD (cm),MaxD (cm),VarD,BA (m2/ha),TSV (m3 sub),TRV (m3 sub),MAI (m3 sub/ha/a)
GLBC057904_1,84492,18.3159,0.0,11.02752428,5.7642706310000005,52.27166576,-1.135155635,2.6222934319999998,0.008391,0.0877,0.1615,0.3152,2.7395,10.3491,11.82522,12.44237,12.8649,13.252995,13.54355,13.8014,14.0824,14.332915,14.601370000000001,14.90655,15.2032,15.478435000000001,15.87296,16.36059,16.980609,73.6176206,80.36145434,78.60862567,4.55745,4.716857749,1.67435,0.602073842,0.743644449,0.743611052,18.89400922,20.00310403,20.91043671,22.00401137,23.09400444,25.65005611,38.97113249,70.62868604,96.14383611,11.02752428,2.9018640739999997,-0.994917319,0.23845419199999998,-0.34285455600000003,0.08217276400000001,0.263147376,0.6847176070000001,0.19149128699999998,1.151987057,7.099999999999999e-05,0.862803579,8.478909246,10.29683284,1.75282867,3.0535435310000003,75.55508214,0.0,0,1.439202237,2594,39.91997538,54.80667653,2.287450659,0.264717895,90.64869711,9.033548784,32.91782087,23.56109572,34.48753463,2,14.23037554,0.34794775,,,0.11973069300000001,0.039908351,,,13.88242779,,,75.52430999,3.676087677,20.79960233,54.34360649999999,45.6563935,,33.30677117,20.03551581,18.99937006,0.26263388,0.398455176,0.031109162000000003,0.5704356620000001,0.429564338,0.072079553,18.3159,84492,248.328,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_07_MRI_GLBC057904,GLBC057904,18.5,ACRA,07/20/2020,05/29/2023,MRINV,1,05/29/2023,False,47N,True,777224.66,102923.37,05/31/2023,2.86,1280,1280,1720,19.09,14.88,14.88,10.85,10.85,16.07,6.3,16.8,7.53,15.9,118.65,104.3,36.47
GLBC057904_2,75693,17.5881,0.0,9.736155785,5.831382142000001,59.8940924,-0.696387816,1.865702758,0.0152,0.0996,0.1869,0.3351,0.8198200000000001,3.8761,6.6940800000000005,9.793660000000001,10.99896,11.75184,12.3911,12.81306,13.217220000000001,13.6211,14.03994,14.3935,14.73056,15.094439999999999,15.4663,15.933079999999999,16.689472,65.14208712,77.72977686,73.25380154,10.5174,5.12622081,2.6858,0.553564955,0.8431711740000001,0.8431560229999999,21.32990898,23.95406398,26.69532123,30.06600309,32.48389844,37.39287805,48.90881993,70.18550061,93.90003726,9.736155785,3.160451984,-0.706113172,-0.08335764,-0.22342157899999998,-0.026375227,0.324609841,0.404318036,0.187739961,0.6599159920000001,0.006484017,0.7186926140000001,7.354709154,14.19682137,4.475975321,8.940060508,64.31374103,0.0,0,2.0519800409999998,2839,41.39087331,62.29975861,2.287952436,0.220007345,66.40508944,11.95509549,25.047383,20.935996499999998,42.061525,2,13.80260313,0.542965362,,,0.097910137,0.046889495,,,13.25963777,,,79.22925502,1.36472329,19.40602169,59.77038828,40.22961172,,34.53432513,19.79746193,18.01334285,0.248991782,0.426730887,0.051662195999999994,0.5216069170000001,0.478393083,0.173489485,17.5881,75693,248.257,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_07_MRI_GLBC057904,GLBC057904,18.5,ACRA,07/20/2020,05/29/2023,MRINV,2,05/29/2023,False,47N,True,777374.96,102923.48,05/31/2023,2.86,1240,1240,1400,18.72,14.113714000000002,14.113714000000002,9.18,9.18,12.54,6.3,18.5,5.915,12.26,88.35,75.16,26.28
GLBC058903_3,96696,18.6163,0.0,11.24072019,5.813805767000001,51.72093664,-1.160327272,2.6806386190000002,0.0175,0.1167,0.2167,0.3772,2.6082,10.712675,11.8553,12.554325,13.0463,13.437975,13.755,14.0713,14.3615,14.661275,14.9541,15.2386,15.5116,15.7738,16.0299,16.383625,17.01915,73.13642757,80.41387441,79.18011086,4.525925,4.718170447,1.7909,0.603810649,0.7392508870000001,0.7392347140000001,18.90191831,19.87981921,20.57028598,21.56901543,22.49796922,26.01591302,39.40555289,68.75611839,98.04628106,11.24072019,2.918419187,-1.0247740109999999,0.233486865,-0.351140102,0.080004567,0.2596292,0.6197404679999999,0.191805735,1.120403339,0.002338589,0.6959956979999999,6.076776702,12.81335319,1.233763548,2.868784645,76.31132622,0.0,0,1.655809864,2682,39.21052632,55.35603715,2.3605474969999998,0.255563146,86.06422426,11.33040936,31.62280702,22.76315789,34.28362573,2,14.49075264,0.350935029,,,0.119066508,0.039641912,,,14.13981761,,,72.1198395,2.974269877,24.90589063,48.53354844,51.46645156,,33.830310499999996,20.36118923,17.47458227,0.24383337,0.398137678,0.085326056,0.516536266,0.483463734,0.042783285,18.6163,96696,248.36700000000002,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_05_MRI_GLBC058903,GLBC058903,25.8,ACRA,05/15/2020,05/06/2023,MRINV,3,05/06/2023,False,47N,True,778440.0,102207.0,05/08/2023,2.98,1720,1720,1920,18.09,16.49,16.49,10.48,10.48,16.23,6.2,17.0,7.56,16.56,137.95,121.43,40.75
RSKAU48302_8,59591,17.9186,0.0,9.187204957,5.802101334,63.15415147,-0.686875763,1.7437338359999999,0.0014,0.0948,0.1799,0.2908,0.4766,0.90595,6.0913,9.6819,10.8972,11.581,12.110999999999999,12.4815,12.8055,13.0893,13.3581,13.65355,13.9736,14.31815,14.6855,15.17345,16.00015,66.17945663,73.11003339,70.81270662,12.7476,5.181121465,2.2405,0.512718904,0.767890205,0.7678665020000001,25.9878677,27.57896164,28.77185848,30.40023045,32.80974651,38.53022909,55.54087027,85.12776196,99.19174461,9.187204957,3.092340412,-0.693339395,-0.142315052,-0.22421186,-0.046021794000000005,0.33659207799999996,0.524966872,0.16417712,1.016520448,0.003796119,0.963232703,7.333322146,18.59341176,2.297326778,6.688929536,64.12377708,0.0,0,2.035181079,2416,35.22379356,54.31654676,2.298162476,0.246265815,91.53019544,13.54424843,29.62530981,19.95917772,36.87126403,2,13.20411115,0.440403131,,,0.105057046,0.054580777999999996,,,12.76370802,,,75.76815291,1.28039469,22.951452399999997,53.77489889,46.22510111,,34.18553179,21.23660751,18.96941597,0.254994211,0.37878376,0.066320207,0.554896033,0.44510396700000004,0.138969044,17.9186,59591,248.17,Riau SMF,D.MINAS,RIAU  ,RSK,PT. Arara Abadi,2023_08_MRI_RSKAU48302,RSKAU48302,26.7,ACRA,08/31/2020,05/29/2023,MRINV,8,05/29/2023,False,47N,True,793472.91,91959.72,05/31/2023,2.74,1520,1520,1840,15.47,14.3,14.3,10.16,10.16,15.7,6.1,17.5,6.56,14.92,104.47,88.83,32.42
RSKAU48302_9,69300,17.8074,0.0,9.117144592999999,6.043766184,66.29012102,-0.62016981,1.6442028569999998,0.010499,0.0873,0.1428,0.1999,0.2791,0.434925,4.1445,9.16992,10.59946,11.442765,12.18155,12.6115,12.95554,13.274935000000001,13.58986,13.912225,14.253620000000002,14.590815,14.974029999999999,15.460004999999999,16.488501,65.13564214,70.93650794,69.62049062,13.4773,5.436029146,2.4841,0.5119862860000001,0.7528705529999999,0.7528497679999999,28.36070582,29.13023872,29.93177487,31.35301049,33.76634712,40.13645026,52.79082961,79.70702472,98.01143389,9.117144592999999,3.235232855,-0.637153568,-0.22483065600000002,-0.196942105,-0.069494428,0.354851546,0.4577945,0.154460921,1.001200025,0.003639673,0.802308802,9.884559885,18.37662338,1.316017316,6.619047619,63.001443,0.0,0,1.966558483,2369,34.53856247,51.96314981,2.292279047,0.260067573,92.20883987,12.75696166,31.928852600000003,20.92141712,34.39276863,2,13.42439178,0.29980274,,,0.10001597400000001,0.058367333,,,13.12458904,,,74.48340548,1.167388167,24.34920635,53.16738817,46.83261183,,37.31882615,21.11721115,19.21602267,0.24746314100000003,0.434140531,0.050944487999999996,0.514914981,0.485085019,0.18853203699999999,17.8074,69300,248.21599999999998,Riau SMF,D.MINAS,RIAU  ,RSK,PT. Arara Abadi,2023_08_MRI_RSKAU48302,RSKAU48302,26.7,ACRA,08/31/2020,05/29/2023,MRINV,9,05/29/2023,False,47N,True,793616.0,91962.0,05/31/2023,2.74,1560,1560,1920,17.77,14.66,14.66,10.51,10.51,15.13,6.1,15.8,6.78,16.65,121.81,105.42,38.47
GLBC058903_4,106216,18.4412,0.0,10.46281806,6.037035676,57.69990113,-0.8775350759999999,2.0506212980000003,0.0499,0.1652,0.2954,0.511625,0.9215,3.026875,10.47825,11.797625,12.4144,12.8776,13.2929,13.6594,13.9495,14.2386,14.54025,14.8863,15.2076,15.4935,15.86455,16.38145,17.1038,70.02993899,75.78330948,74.34473149,11.859425,5.211816592,2.0445,0.567361021,0.7680146929999999,0.767992659,23.74828743,24.95110313,25.64180092,26.53942458,28.10223461,31.38848207,45.17598148,72.95318184,96.50210233,10.46281806,3.1442948680000002,-0.88155981,0.020785114,-0.280368047,0.0066104219999999995,0.30052084,0.5397546529999999,0.1668386,1.1058686770000001,0.000207136,0.35776154299999996,3.953265045,19.90566393,1.438577992,3.578556903,70.76617459,0.0,0,1.512679701,2854,41.60956408,58.14995925,2.291371261,0.252569917,91.36906857,7.391748067999999,29.94605628,23.12290421,39.53929144,2,14.25441879,0.5529001960000001,,,0.110006227,0.048655669000000006,,,13.70151859,,,68.38423590000001,4.3279731869999996,27.28779092,38.90186036,61.09813964,,36.4473146,20.1658876,19.0467441,0.251741444,0.44671129200000004,0.030705787999999998,0.52258292,0.47741708,0.00679472,18.4412,106216,248.41,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_05_MRI_GLBC058903,GLBC058903,25.8,ACRA,05/15/2020,05/06/2023,MRINV,4,05/06/2023,False,47N,True,778594.0,102222.0,05/08/2023,2.98,1440,1440,1640,17.96,16.46,16.46,10.28,10.28,16.13,6.0,16.4,6.73,13.61,113.69,99.34,33.34
GLBC058903_5,80616,18.2506,0.0,10.17220373,6.403074545,62.94677844,-0.706646441,1.7060610330000001,0.0389,0.147275,0.25345,0.418325,0.7402,1.242875,5.79185,11.3238,12.6068,13.129175,13.5138,13.8395,14.2014,14.54775,14.8515,15.133125,15.4095,15.6883,16.02185,16.4688,17.206495,66.30321524,72.09859085,70.37436737,13.89025,5.7850698110000005,2.1762,0.557362702,0.75610313,0.7560726659999999,27.28972662,28.59992271,29.51618734,30.72914719,32.12037349,34.02769986,41.18204371,65.69804406,94.54853709,10.17220373,3.371018943,-0.8178548309999999,-0.179482339,-0.24261353800000002,-0.053242755999999995,0.33139514600000003,0.539797641,0.150175646,1.182957025,0.00017367,0.493698521,4.649201151000001,22.75850948,1.7242234790000002,3.811898382,66.56246899,0.0,0,1.691816464,2660,38.78116343,54.26356589,2.2935254780000003,0.260587232,99.68001004,6.925207756,32.68698061,22.10234728,38.28546435,2,14.60119139,0.5710696670000001,,,0.10729214,0.055717508,,,14.03012172,,,67.57839635,4.4011114419999995,28.02049221,39.05056068,60.94943932,,41.74592696,19.40330073,18.69800303,0.234172217,0.535204937,0.016895007,0.447900056,0.552099944,0.01572866,18.2506,80616,248.222,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_05_MRI_GLBC058903,GLBC058903,25.8,ACRA,05/15/2020,05/06/2023,MRINV,5,05/06/2023,False,47N,True,778721.0,102215.0,05/08/2023,2.98,1400,1400,1640,18.03,16.5,16.5,10.3,10.3,15.53,6.1,16.8,5.91,13.67,114.4,99.74,33.47
GLBC058903_6,99188,18.82,0.0,11.44034424,5.959795324,52.09454542,-1.002489154,2.459652065,0.0383,0.1623,0.32987,0.687505,4.06122,8.5529,11.16416,12.1857,12.956760000000001,13.538045,13.99115,14.3955,14.7841,15.1108,15.41949,15.72575,16.08642,16.438,16.8201,17.344,18.043926000000003,68.89845546,81.67419446,79.2263177,7.17285,4.940488678,2.2662,0.6078822660000001,0.833432937,0.833426091,17.85341746,19.36137245,20.93819309,23.10644805,25.62206941,30.2168255,41.55636349,63.90832768,91.25203812,11.44034424,3.121098045,-0.9423168670000001,0.172075322,-0.301918381,0.055132943,0.272815047,0.463389512,0.19963058600000003,0.73405913,0.023527773999999998,0.447634795,4.108359882,13.76981086,2.447876759,6.239666089,72.98665161,0.0,0,1.5975207359999999,3257,47.61695906,64.26598264,2.353409,0.223955398,67.14894197,8.070175439,26.47660819,24.0497076,41.40350877,2,15.04927593,0.574129159,,,0.105635287,0.037675286,,,14.47514677,,,73.18929709,3.410694842,23.40000807,48.88696213,51.11303787,,35.59558872,19.99439225,18.36547587,0.24833158600000002,0.43829016600000004,0.045761748,0.515948086,0.48405191399999997,8.26e-05,18.82,99188,248.359,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_05_MRI_GLBC058903,GLBC058903,25.8,ACRA,05/15/2020,05/06/2023,MRINV,6,05/06/2023,False,47N,True,778880.0,102214.0,05/08/2023,2.98,1640,1640,1840,18.2,16.5,16.5,10.72,10.72,16.03,6.1,16.5,8.02,16.61,137.37,120.59,40.47
GLBC058903_7,61414,17.9168,0.0,10.8765169,5.409006865,49.73105741,-1.133336068,2.804379827,0.034013,0.157665,0.31983,0.637495,6.2344,10.021775,10.85635,11.514619999999999,11.9804,12.4336,12.8734,13.268614999999999,13.68256,14.057145000000002,14.384520000000002,14.7131,15.0392,15.368504999999999,15.73117,16.1732,16.805509,69.83749634,82.11971212,80.69169896,4.691325,4.2849760130000005,2.1194,0.607056891,0.806012387,0.80599593,17.33997085,18.10470467,19.08559451,20.18602519,21.85304665,28.86174202,45.85619074,68.99634827,94.48474626,10.8765169,2.789497409,-0.8760379540000001,0.254158035,-0.314048671,0.09111248300000001,0.256469735,0.514315058,0.21518391399999998,0.882722291,0.010644748999999998,0.563389455,4.152147718999999,13.16475071,1.4280131569999999,5.570391116000001,75.12130785,0.0,0,1.983744461,2425,35.35500802,51.65069223,2.294077201,0.24740414600000002,92.93111471,10.22014871,33.09520338,20.80478204,35.87986587,2,13.84695734,0.44001565600000003,,,0.109968781,0.036105434,,,13.40694168,,,71.60745107,3.883479337,24.50906959,46.41287003,53.58712997,,29.74015911,22.02659679,15.71403022,0.23286673300000002,0.2593652,0.212257323,0.528377477,0.47162252299999996,0.18549213899999997,17.9168,61414,248.03099999999998,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_05_MRI_GLBC058903,GLBC058903,25.8,ACRA,05/15/2020,05/06/2023,MRINV,7,05/06/2023,False,47N,True,779035.0,102206.0,05/08/2023,2.98,1120,1120,1520,18.43,16.53,16.53,10.68,10.68,17.77,6.2,20.1,8.87,13.63,113.2,99.95,33.54
GLBC058903_8,99633,18.3105,0.0,9.700501748999999,5.703081373,58.79161223,-0.746245796,1.933237654,0.032832,0.1532,0.28672,0.4939,0.92404,3.6264,7.567239999999999,10.10242,11.206380000000001,11.81124,12.2964,12.69876,13.05282,13.410779999999999,13.7393,14.0253,14.33636,14.700420000000001,15.12398,15.761120000000002,16.8035,66.14174019,76.90724961,73.80084912,10.3989,4.972486729,2.3683,0.529778092,0.816669412,0.816648585,22.46981328,24.66080922,26.39484329,29.13056197,32.09930094,38.64908759,56.35762057,84.21111033,98.29925454,9.700501748999999,3.061528277,-0.721082861,-0.024734482000000002,-0.23553036100000002,-0.008079129,0.315605147,0.47471085700000004,0.172429583,0.86479237,0.000421592,0.500838076,4.378067508,18.21384481,3.10640049,8.499192035,65.30165708,0.0,0,1.675439159,3104,45.25441026,66.79578223,2.292812766,0.22089223800000002,71.41195079999999,11.19696749,22.49599067,21.985712200000002,44.32132964,2,13.45566341,0.5840812129999999,,,0.102571964,0.047819469,,,12.87158219,,,65.88881194,6.66646593,27.44472213,38.72712856,61.27287144,,32.69920104,20.40814223,18.79777386,0.261424703,0.37588254200000004,0.049247942,0.574869516,0.425130484,0.10726299,18.3105,99633,248.36700000000002,Riau SMF,D.MINAS,RIAU  ,GLB,PT. Arara Abadi,2023_05_MRI_GLBC058903,GLBC058903,25.8,ACRA,05/15/2020,05/06/2023,MRINV,8,05/06/2023,False,47N,True,778583.47,102367.94,05/08/2023,2.98,1120,1120,1360,18.27,16.66,16.66,11.21,11.21,16.77,6.2,17.2,8.96,13.41,110.84,99.25,33.31
